I found out that I'm getting a bonus for having the top rating in my district!</s>		<pad> That's awesome! What district is it in?</s>		Congratulations! That is amazing! You must be a hard worker. What do you do?</s>
When I lived in California my farmer friend and landlord had me get organized and have all my valuables together in case of a big earthquake. He stockpiled such things as batteries and water.</s>		<pad> That is so nice of him. I hope you have a good earthquake recovery plan.</s>		I can understand that as I live in Florida and we prepare for hurricanes each year with a plan and emergency rations and supplies.</s>
I recently dug up a necklace my grandmother gave me when I was young for a birthday. I hadn't seen it in years.</s>		<pad> Oh wow, that's so cool. Did you get it back?</s>		Oh my.. that must have been very sad. I can't even imagine how you must have felt.</s>
One time when I was little and playing hide and go seek, my cousin talked me into remaining hidden even when our parents came looking for us. After a while I realized that we were going to be in trouble, and then we saw a police car pull into the drive way.</s> Oh no, I bet your parents were freaking out.</s> Yeah I guess they were, they made sure to spank me and ground me for 2 weeks. I was also told that I was a terrible influence on my 9 year old cousin, even though I was 7 and it was his idea.</s>		<pad> I bet you were a little scared of police.</s>		Oh that sucks getting blamed for it when it was their fault.</s>
I'm so happy for my son, went to his graduation from Harvard last week.</s>		<pad> That's great. I hope he's doing well.</s>		Wao,thats great,congrats!</s>
my little boy learned how to count to ten eeven know he is super young</s>		<pad> That is great! How old is he?</s>		ohhh cute!! i am so happy for you, smart boy!</s>
My little girl loves to wake up at night and ask for chocolate milk.</s>		<pad> I bet she is a little bit spoiled.</s>		That is nice. They are good at that age. I have a 20-year-old, and he is currently ignoring me.</s>
I have some friends who are traveling all over Europe this summer</s>		<pad> That's great. What are they going to do?</s>		Wow i'd be jealous</s>
I check in with my partner to see if we are okay. I ask him if there is anything that we can work on to make the relationship better.</s> okey no problem</s> I don't want to have problems. This is why I check in with him.</s>		<pad> I'm sorry to hear that. I hope you are okay.</s>		For mine too. That was also i said.</s>
My husband might loose his job, I'm not sure what we will do if he does.</s> That is terrible. Why do you think that he will lose his job?</s> The company is downsizing and cutting a lot of departments. His hasn't been cut yet but there are rumors!</s>		<pad> I am sorry to hear that. I hope he is able to get back on his feet.</s>		I understand. That is very stressful. Did he started looking for another jod? It could be solution.</s>
I am so sorry to hear that! Is there a particular section you are having trouble with?</s> Yes, I am a little uncomfortable driving backwards. I just can't do that.</s> Ah! That's quite understandable. It is tricky at first and non-intuitive. I practiced driving in reverse with cones in an abandoned lot.</s> every time I try not to hit that cone but those are so close.</s>		<pad> I'm sorry to hear that. I'm sure you'll get better.</s>		I know it's hard, but practice makes perfect! Keep trying and I am sure you will get it!</s>
I once ate a piece of cake, it was old. After the first bite I noticed spots of mold on it.</s>		<pad> That's a shame. I'm sorry to hear that.</s>		That sounds gross, did you get sick from it?</s>
I didn't realize that stealing was bad until I realized how it made me feel afterwards</s> So you probably felt pretty guilty huh. Did you return what you stole?</s> No, I was scared to get charged, but I stopped after that</s>		<pad> I'm sorry to hear that. I'm sorry to hear that.</s>		Glad to hear you stopped with your wayward habits before the Po Po caught up with you!</s>
I just got back from a latenight showing of the horror movie insidious</s>		<pad> Oh no. Is it a good movie?</s>		Oh that sounds fun!</s>
i was really happy the day i finished my doctorate</s>		<pad> That's great! What did you do?</s>		Wow. That is quite an accomplishment! Congratulations!</s>
Getting this new job should be easy. I am easily the best person that applied.</s> Damn, very confident huh? What job did you apply for?</s> CEO of Apple. I figured they need a Steve 2.0 to take them forward!</s>		<pad> I'm sure you will be able to do it.</s>		Oh wow, that outta pay very well.</s>
I was doing the dishes and a huge roach crawled out from underneath the dishwasher.</s> Eww, it may be time to call someone to take care of them.</s> I almost fell over trying to crush it, i forgot I wasn't wearing shoes and stepped on in with my bare feet.</s>		<pad> I'm sorry to hear that. I hope you don't get hurt.</s>		Oh, that had to be super gross!</s>
I feel uneasy because I don't know if I will be able to save enough money in time</s>		<pad> That's a good question. Is there any way to save money?</s>		What are you saving for?</s>
My friend just took her kids to Disneyland and I feel a little bad about it.</s> Why's that?</s> I'd been wanting to do that trip with my kids for years. I'm happy for her- just wish it could have been me.</s>		<pad> I'm sorry to hear that. I hope you get to go back soon.</s>		I can understand that. It's a tough trip to make, but hopefully you'll be able to soon.</s>
When my wife left me, i felt worthless and like giving up on life to be honest, I've since started making some positive changes and and more optimistic</s> I can't even imagine how devastating that would be. I think you must be really strong to be able to move forward.</s> Well, Like the saying goes, get busy living or get busy dying. I'm not sure if i'll ever find someone i truly love but life goes on!</s>		<pad> I'm glad you are doing well.</s>		You might, but I believe you can have a full life as a single person, too.</s>
I had to schedule an appointment with the dentist after not visiting one in five years.</s> That is crazy. Did you not have insurance for all these years you missed the dentist appointments?</s> I do not have insurance. I went anyway because I had a problem with one tooth.</s>		<pad> I am sorry to hear that. I hope you had a good experience.</s>		I hope the problem was not deep in the enamel of the tooth since that requires a lot of work.</s>
Christmas was the best time of year back in the day!</s> I still think it is, i always get so excited</s> Yeah, it's like there's nothing to worry about</s>		<pad> I remember when I was a kid, I was a little girl.</s>		yep thats one of the things that make it so nice</s>
Well, recently at physical therapy I walked the length of the treatment room with the help of a cane. I'm feeling quite good about that!</s> wow thats a good job</s> Considering I've been using a walker for the past two years, yes it is. Thanks!</s>		<pad> I'm glad you're feeling better.</s>		keep it up!</s>
One night, I was home alone, when suddenly, I heard a loud BANG!</s>		<pad> Oh no! What happened?</s>		Oh goodness, what was it?</s>
I was in a college class once with an older woman. She took a paper idea I had talked about and presented it as her own, stealing all the work I had done.</s>		<pad> That is so sad. I hope you were able to get through it.</s>		That is despicable. Did you report her to the teacher?</s>
I really didn't know what to expect while my dad was having neck surgery last weekend.</s> did it turn out ok?</s> Seems to have, yeah. He has a lot less neck pain now than he has this past year, but that's happened during his previous neck surgeries as well.</s>		<pad> That's great. I hope he's feeling better soon.</s>		hopes he continues to get better</s>
